datetime,longitude,latitude,water_level,significant_wave_height,wind_speed,distance_from_land,water_depth,satellite,quality,absolute_dynamic_topography,water_level_rms,significant_wave_height_raw,significant_wave_height_rms,wind_speed_raw,wind_speed_rads
2017-10-27 10:45:45.000,0.46865,53.806277,1.01349999990221,1.8046602,7.96263270667911,28659.538095679,-35.0,3a,0,0.3536,0.0471,1.7950001,0.43600002,7.96508658112449,7.6299996
2017-10-27 10:45:46.000,0.439095,53.748795,1.04420000000503,1.7297682,7.71613609430133,23751.0253385493,-28.2108696049072,3a,0,0.3411,0.040999997,1.7160001,0.307,7.72175330138335,7.37
2017-10-27 10:45:47.000,0.409609,53.691307,1.10250000008046,1.6207482,6.98983067752778,19388.941340929,-20.4137497152878,3a,0,0.3443,0.048499998,1.6010001,0.407,7.00476868462762,6.69
2017-10-27 10:45:48.000,0.380192,53.633813,1.17789999996052,1.4320961,6.51276022485913,15246.8767818093,-26.8674646249621,3a,0,0.3629,0.0425,1.4020001,0.41200003,6.5338205576102,6.24
2017-10-27 10:45:49.000,0.350843,53.576313,1.23569999999292,1.2131081,6.24566018035588,13360.7095067338,-13.0,3a,0,0.3741,0.044499997,1.171,0.395,6.27014825306602,5.97
2017-10-27 10:45:50.000,0.321562,53.518807,1.28839999997076,1.1941481,6.57402313509061,10874.1277856778,-9.0,3a,0,0.3774,0.0403,1.151,0.49500003,6.59429727057316,6.29
2017-10-27 10:45:51.000,0.29235,53.461295,,1.048156,5.93761945182451,6553.76766488251,-8.52370903816912,3a,2,,0.0235,0.99700004,0.54200006,5.96606066320288,5.71
2017-10-27 10:45:52.000,0.263204,53.403778,,1.2055242,1.47521229797788,2540.90906971809,-9.66861388019606,3a,2,,,1.1630001,1.5860001,1.56092033364056,1.54
2017-10-27 12:52:50.423,2.4492222,51.0873527,-0.530799999936853,0.824970245361328,7.73656574045201,2745.97319984273,-8.67638642466409,c2,2,0.504,0.027999999,0.76000005,0.256,7.75646234296457,6.8799996
2017-10-27 12:52:51.366,2.4401932,51.1442717,-0.541499999966653,1.21809232234955,8.01932429129302,8916.98278968433,-10.0,c2,1,0.4839,0.077,1.192,0.44700003,8.03476800324116,7.16
