Data type	Check status	Checked by	Year	Sampling platform (code)	Visit event identifier	Expedition identifier	Station name	Reported station name	ID Location	ID Monitoring station	Project	Orderer	Sampling date	Sampling time (start)	Sampling date (end)	Sampling time (end)	Shark sample id	Sample latitude (DM)	Sample longitude (DM)	Sample latitude (DD)	Sample longitude (DD)	Positioning system (code)	Station water depth	Wind direction (code)	Wind speed (m/s)	Air temperature (C)	Wet-bulb temperature (C)	Air pressure (hpa)	Weather observations (code)	Cloud (code)	Wave observation (code)	Ice (code)	Secchi depth (m)	Q-flag Secchi depth	Additional Sampling	Sampling event comment	Sampling depth (m)	Pressure CTD (dbar)	Q-flag Pressure CTD	Temperature bottle (C)	Q-flag Temperature bottle	Temperature CTD (C)	Q-flag Temperature CTD	Salinity bottle (o/oo psu)	Q-flag Salinity bottle	Salinity CTD (o/oo psu)	Q-flag Salinity CTD	Conductivity_25 bottle (mS/m)	Q-flag Conductivity_25 bottle	Conductivity CTD (mS/m)	Q-flag Conductivity CTD	Dissolved oxygen O2 bottle (ml/l)	Q-flag Dissolved oxygen O2 bottle	Dissolved oxygen O2 CTD (ml/l)	Q-flag Dissolved oxygen CTD	Hydrogen sulphide H2S (umol/l)	Q-flag Hydrogen sulphide H2S	pH	Q-flag pH	pH Laboratory	Q-flag pH Laboratory	Temperature pH Laboratory (C)	Q-flag Temperature pH Laboratory	Alkalinity (mmol/kg)	Q-flag Alkalinity	Alkalinity_2 (mmol/l)	Q-flag Alkalinity_2	Phosphate PO4-P (umol/l)	Q-flag Phosphate PO4-P	Total phosphorus Tot-P (umol/l)	Q-flag Total phosphorus Tot-P	Nitrite NO2-N (umol/l)	Q-flag Nitrite NO2-N	Nitrate NO3-N (umol/l)	Q-flag Nitrate NO3-N	Nitrite+Nitrate NO2+NO3-N (umol/l)	Q-flag Nitrite+Nitrate NO2+NO3-N	Ammonium NH4-N (umol/l)	Q-flag Ammonium NH4-N	Total Nitrogen Tot-N (umol/l)	Q-flag Total Nitrogen Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	Q-flag Humus	Chlorophyll-a bottle (ug/l)	Q-flag Chlorophyll-a bottle	Dissolved organic carbon DOC (umol/l)	Q-flag Dissolved organic carbon DOC	Particulate organic carbon POC (umol/l)	Q-flag Particulate organic carbon POC	Total organic carbon TOC (mg/l)	Q-flag Total organic carbon TOC	Particulate organic nitrogen PON (umol/l)	Q-flag Particulate organic nitrogen PON	Current direction (deca degrees)	Q-flag Current direction	Current velocity (cm/s)	Q-flag Current velocity	Lignin (mg/l)	Q-flag Lignin	Yellow substance (1/l)	Q-flag Yellow substance	Aluminium (ug/l)	Q-flag Aluminium	Urea (umol/l)	Q-flag Urea	Coloured dissolved organic matter CDOM (1/m)	Q-flag Coloured dissolved organic matter CDOM	Sample comment	Water category	Water district	Sea area name	Sea area code	Water type area	Sea basin	HELCOM/OSPAR area	Economic zone	County	Municipality	Station ID (VISS)	Reporting institute	Data holding centre	Internet access	Data set name	File name
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+0+0	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				0			6.18		6.10				7.28						7.82		7.6				8.02		7.810		24.6		1.678				0.60		0.95		0.23		2.09		2.32		0.20	<	20.1		15.7		7.9		0.6																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+5+5	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				5					6.09				7.28						7.86		7.6				8.02		7.804		25.4		1.691				0.59		0.97		0.23		2.05		2.28		0.20	<	20.8		15.7		8.1		0.9																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+10+10	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				10					6.09				7.28						7.87		7.6				8.02		7.799		25.3		1.681				0.60		0.96		0.23		2.26		2.49		0.38		21.0		15.8		8.1		0.9																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+15+15	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				15			6.16		6.11				7.28						7.85		7.6				8.02		7.799		25.3		1.686				0.58		1.02		0.22		2.10		2.32		0.20	<	20.2		15.7		8.0		0.8																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+20+20	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				20					6.11				7.28						7.87		7.6				8.01		7.796		25.3		1.682				0.59		0.95		0.22		2.17		2.39		0.23		21.4		15.7		8.0		0.8																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+30+30	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				30			6.17		6.11				7.28						7.84		7.6				8.01		7.791		25.2		1.679				0.58		0.95		0.22		2.10		2.32		0.27		21.6		15.7		8.1		0.8																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+40+40	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				40					6.13				7.28						7.74		7.6				8.01		7.790		25.1		1.682				0.58		0.99		0.23		2.07		2.30		0.23		23.1		15.7		8.0		0.9																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+50+50	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				50					6.14				7.28						7.84		7.6				8.03		7.808		25.2		1.668						0.95										20.3				8.0		0.8																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+60+60	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				60					5.88				7.72						4.48		5.4				7.50		7.277		25.2		1.715				1.35		1.72		0.09		3.07		3.16		0.20	<	19.5		24.7		8.4																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+70+70	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				70			5.45		5.33				9.56						0.78		0.7		4	<	7.21		6.987		25.2		1.775				2.21		2.71		0.02	<	3.88		3.88		0.20	<	21.8		37.8		9.1																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+80+80	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				80					5.75				10.42						0.47		0.1		4	<	7.19		6.967		25.3		1.819				2.70		3.13		0.02	<	3.59		3.59		0.20	<	18.6		40.9		9.3																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+90+90	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				90			6.15		6.11				11.04						0.82		0.5				7.21		6.994		25.2		1.814				2.49		2.85		0.02		6.17		6.19		0.20	<	21.7		39.1		8.8																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+100+100	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				100					6.34				11.64						1.09		0.9				7.24		7.021		25.2		1.824				2.33		2.66		0.02	<	8.51		8.51		0.20	<	23.7		38.1		8.5																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+125+125	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				125					6.73				12.58						0.45		0.3				7.20		6.993		25.2		1.846				2.55		2.94		0.02		7.73		7.75		0.20	<	23.3		42.1		8.7																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+150+150	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				150					6.84				12.93						0.15		0.1		4	<	7.20		6.988		25.2		1.865				2.77		3.10		0.05		5.23		5.28		0.20	<	19.7		45.0		8.8																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+175+175	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				175			6.89		6.90				13.16						0.16		0.1		4	<	7.22		7.015		25.2		1.909				3.05		3.50		0.06		0.98		1.04		0.65		16.2		46.7		8.9																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+200+200	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				200					6.91				13.26						0.15		0.1		4	<	7.24		7.036		25.2		1.910				3.24		3.72		0.02		0.10	<	0.10	<	1.41		15.9		48.0		8.9																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+225+225	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				225					6.92				13.34						0.10	<	0.1		21		7.41		7.197		25.2		2.005				4.75		5.13			B	0.10	<	0.10	<	9.12		25.1		53.6		9.6																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0053	3	BY15 GOTLANDSDJ	BY15 GOTLANDSDJ	00135404	00263730	NAT Nationell BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	08:00			SHARK-HYD+2017+34EB+0053+230+230	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0	17				230					6.92				13.36								0.1		20		7.40		7.193		25.2		2.027				4.79		5.08			B	0.10	<	0.10	<	9.21		24.4		53.4		9.5																											Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0054	3	BY15 GOTLANDSDJ	BY15 EXTRA DJUPSERIE	00135404	00263730	NAT Nationell miljöövervakning extra provtagning, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	10:00			SHARK-HYD+2017+34EB+0054+0+0	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0					0					6.15				7.28								7.6																																																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_EXT_SMHI	SHARK_PhysicalChemical_2017_EXT_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0054	3	BY15 GOTLANDSDJ	BY15 EXTRA DJUPSERIE	00135404	00263730	NAT Nationell miljöövervakning extra provtagning, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	10:00			SHARK-HYD+2017+34EB+0054+5+5	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0					5					6.15				7.28								7.6																																																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_EXT_SMHI	SHARK_PhysicalChemical_2017_EXT_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0054	3	BY15 GOTLANDSDJ	BY15 EXTRA DJUPSERIE	00135404	00263730	NAT Nationell miljöövervakning extra provtagning, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	10:00			SHARK-HYD+2017+34EB+0054+10+10	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0					10					6.16				7.28								7.6																																																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_EXT_SMHI	SHARK_PhysicalChemical_2017_EXT_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0054	3	BY15 GOTLANDSDJ	BY15 EXTRA DJUPSERIE	00135404	00263730	NAT Nationell miljöövervakning extra provtagning, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	10:00			SHARK-HYD+2017+34EB+0054+15+15	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0					15					6.16				7.28								7.6																																																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_EXT_SMHI	SHARK_PhysicalChemical_2017_EXT_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0054	3	BY15 GOTLANDSDJ	BY15 EXTRA DJUPSERIE	00135404	00263730	NAT Nationell miljöövervakning extra provtagning, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	10:00			SHARK-HYD+2017+34EB+0054+20+20	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0					20					6.16				7.29								7.6																																																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_EXT_SMHI	SHARK_PhysicalChemical_2017_EXT_SMHI_version_2021-10-18.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	34EB	0054	3	BY15 GOTLANDSDJ	BY15 EXTRA DJUPSERIE	00135404	00263730	NAT Nationell miljöövervakning extra provtagning, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut	2017-12-16	10:00			SHARK-HYD+2017+34EB+0054+30+30	57 18.72	20 04.56	57.31208	20.07592		235	27	4	4.0		997	1	6	3	0					30					6.16				7.29								7.6																																																									Utsjövatten	Övriga områden utanför Sverige	Del av Ö Gotlandshavets utsjövatten			09 - Östra Gotlandshavet	HELCOM				SE636437-175555	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_EXT_SMHI	SHARK_PhysicalChemical_2017_EXT_SMHI_version_2021-10-18.zip
